filename,width,height,class,xmin,ymin,xmax,ymax
2020-10-21_12-33-24.jpg,1280,720,Allis_clamp,122,157,1178,640
2020-10-21_13-29-49.jpg,1280,720,Allis_clamp,103,123,1214,638
2020-10-21_13-35-15.jpg,1280,720,Allis_clamp,77,192,1260,712
2020-10-21_13-39-10.jpg,1280,720,Allis_clamp,68,163,1258,710
2020-10-21_13-40-30.jpg,1280,720,Allis_clamp,64,150,1229,692
2020-10-21_13-41-08.jpg,1280,720,Allis_clamp,68,145,1233,687
2020-10-21_13-41-54.jpg,1280,720,Allis_clamp,68,143,1233,685
2020-10-21_13-42-10.jpg,1280,720,Allis_clamp,74,141,1239,683
2020-10-21_13-42-18.jpg,1280,720,Allis_clamp,75,148,1240,690
2020-10-21_13-48-53.jpg,1280,720,Allis_clamp,78,148,1243,690
2020-10-21_13-49-08.jpg,1280,720,Allis_clamp,81,155,1246,697
2020-10-21_13-49-37.jpg,1280,720,Allis_clamp,72,164,1237,706
2020-10-21_13-49-49.jpg,1280,720,Allis_clamp,71,159,1236,701
2020-10-21_13-50-03.jpg,1280,720,Allis_clamp,71,164,1236,706
2020-10-21_13-50-14.jpg,1280,720,Allis_clamp,74,174,1239,716
2020-10-21_13-50-22.jpg,1280,720,Allis_clamp,77,177,1242,719
2020-10-21_13-50-32.jpg,1280,720,Allis_clamp,81,175,1246,717
2020-10-21_13-50-42.jpg,1280,720,Allis_clamp,79,139,1228,715
2020-10-21_13-50-51.jpg,1280,720,Allis_clamp,86,133,1235,709
2020-10-21_13-50-59.jpg,1280,720,Allis_clamp,85,96,1226,711
2020-10-21_13-51-07.jpg,1280,720,Allis_clamp,83,81,1232,709
2020-10-21_13-52-19.jpg,1280,720,Allis_clamp,92,53,1233,720
2020-10-21_13-53-04.jpg,1280,720,Allis_clamp,89,50,1230,717
2020-10-21_13-53-13.jpg,1280,720,Allis_clamp,89,48,1230,715
2020-10-21_13-53-25.jpg,1280,720,Allis_clamp,89,53,1230,720
2020-10-21_13-53-32.jpg,1280,720,Allis_clamp,89,16,1202,720
2020-10-21_13-55-23.jpg,1280,720,Allis_clamp,92,16,1205,720
2020-10-21_13-55-32.jpg,1280,720,Allis_clamp,96,5,1205,719
2020-10-21_13-55-39.jpg,1280,720,Allis_clamp,97,6,1206,720
2020-10-21_13-55-49.jpg,1280,720,Allis_clamp,104,2,1213,716
2020-10-21_13-57-38.jpg,1280,720,Allis_clamp,110,1,1219,714
2020-10-21_13-58-32.jpg,1280,720,Allis_clamp,118,1,1227,715
2020-10-21_13-58-44.jpg,1280,720,Allis_clamp,126,2,1228,707
2020-10-21_13-58-51.jpg,1280,720,Allis_clamp,126,3,1228,708
2020-10-21_13-59-00.jpg,1280,720,Allis_clamp,110,15,1212,720
2020-10-21_13-59-08.jpg,1280,720,Allis_clamp,109,11,1211,716
2020-10-21_13-59-17.jpg,1280,720,Allis_clamp,108,1,1202,720
2020-10-21_13-59-24.jpg,1280,720,Allis_clamp,117,1,1211,720
2020-10-21_13-59-33.jpg,1280,720,Allis_clamp,119,1,1202,720
2020-10-21_14-00-15.jpg,1280,720,Allis_clamp,352,142,1036,535
2020-10-21_14-00-21.jpg,1280,720,Allis_clamp,350,152,1034,545
